tier,name,city,glow_score,review_count
1,"Youthtopia Med Spa",Alpharetta,5,460
1,"Allure Infinite Beauty",Tempe,5,458
1,"SKINNEY Medspa",New York City,5,454
1,"Skinfinity Spa",Columbus,5,453
1,"Caribbean Mystique Massage & Wellness Spa",Tampa,74,451
1,"dermani MEDSPA® Preston Hollow",Dallas,5,451
1,"Caribbean Mystique Massage & Wellness Spa",Tampa,5,451
1,"Spavia Day Spa - Estero",Estero,5,451
1,"Modern Aesthetic Centers - Gate Parkway",Jacksonville,5,448
1,"Optimal Wellness",Naples,5,448
1,"OVME",Buckhead,5,447
1,"Skin Wellness Physicians",Naples,5,446
1,"Skin Artisans at Edina Plastic Surgery",Minneapolis,5,445
1,"Skin Savvy Aesthetics Med Spa",Scottsdale,5,445
1,"Balanced Aesthetics + Wellness",Atlanta,5,444
1,"Peachy East Austin",Austin,5,443
1,"Hand & Stone Massage and Facial Spa",Estero,5,439
1,"Hatef Aesthetics & Plastic Surgery",Nashville,5,437
1,"Seattle Beauty",Seattle,5,437
1,"Dream Aesthetics Medspa",Houston,5,436
1,"Hi Beautiful Aesthetics",Houston,5,436
1,"Relive Wellington",Wellington,5,434
1,"dermani MEDSPA® Vinings",Atlanta,5,433
1,"NakedMD Med Spa Santa Monica",Santa Monica,5,431
1,"Rescue Spa",Philadelphia,5,430
1,"ÉLAN Aesthetics",Tampa,5,428
1,"NATURA Hair Removal & Skin Care | Kendall",Miami,5,428
1,"ÉLAN Aesthetics",Tampa,73,428
1,"Sisu Clinic Houston",Houston,5,427
1,"Beauty Studio by Tatiana",Naples,5,424
1,"Amir Shariati, MD",Coconut Creek,5,421
1,"Erasable Med Spa",Tampa,73,419
1,"Erasable Med Spa",Tampa,5,419
1,"Brickell Cosmetic Center-Aesthetics & Dermatology",Miami,5,417
1,"Cell Renew Medical Spa Downtown",Tampa,74,417
1,"BLUE Med Center & Spa",Atlanta,5,417
1,"Cell Renew Medical Spa Downtown",Tampa,5,417
1,"Glow Medspa Houston",Houston,5,416
1,"Spa Black",San Antonio,5,415
1,"Skin Medical Spa in San Diego | Skin Tightening | Cryo Fat Freezing | Lipo Cavitation",San Diego,5,415
1,"Xtreme Beauty Salon",Miami,5,414
1,"Las Olas Med Spa",Fort Lauderdale,5,412
1,"LA Medical Associates",Lake Worth,5,410
1,"NakedMD Med Spa Henderson",Henderson,5,409
1,"dermani MEDSPA® Buckhead",Atlanta,5,408
1,"A Younger You Aesthetics | Med Spa – Powell, OH",Columbus,5,408
1,"dermani MEDSPA® Buckhead",Buckhead,5,408
1,"The Woodruff Institute for Dermatology & Cosmetic Surgery",Naples,5,407
1,"Artisan Beauté - Buckhead",Buckhead,5,404
1,"PCH MedSpa",Newport Beach,5,404
1,"Revive Med Spa - Mission Valley",San Diego,5,402
1,"San Diego Aesthetics and Med Spa",San Diego,5,401
1,"Aesthetic Surgery of Charlotte",Charlotte,5,400
